,SMILES,BDE
47-2-rhi-cf3.log,FC(F)(F)C1=C[CH]N2C(=C1)C1=CC(C(F)(F)F)=CC3=C4C=C(C(F)(F)F)C=CN4[Rh@SP2]2(C(F)(F)F)N13,68.6
32-4-rhi-cf3.log,FC(F)(F)[Rh@SP2]1[P](C2CCCCC2)(C2CCCCC2)O[C@@H]2CCCC23CCC[C@H]3O[P]1(C1CCCCC1)C1CCCCC1,68.5
4-3-rhi-cf3.log,C[C@H]1[C@H](C)[P](C(C)(C)C)(C(C)(C)C)[Rh@SP3](C(F)(F)F)[P]1(C(C)(C)C)C(C)(C)C,68.5
2-1-rhi-cf3.log,CC1(C)[P](c2ccccc2)(c2ccccc2)[Rh@SP2](C(F)(F)F)[P]1(c1ccccc1)c1ccccc1,68.3
4-4-rhi-cf3.log,C[C@H]1[C@H](C)[P](C2CCCCC2)(C2CCCCC2)[Rh@SP2](C(F)(F)F)[P]1(C1CCCCC1)C1CCCCC1,68.3
54-3-rhi-cf3.log,FC1=CO[C]2C3=CC=CC4=C5OC=C(F)N5[Rh@SP1](C(F)(F)F)(N21)N34,68.3
3-1-rhi-cf3.log,FC(F)(F)[Rh@SP1]1[P](c2ccccc2)(c2ccccc2)CC[P]1(c1ccccc1)c1ccccc1,68.2
38-1-rhi-cf3.log,FC(F)(F)[Rh@SP1]1[P](c2ccccc2)(c2ccccc2)[C@H]2COCO[C@@H]2[C@H]2OCOC[C@@H]2[P]1(c1ccccc1)c1ccccc1,68.2
5-1-rhi-cf3.log,FC(F)(F)[Rh@SP1]1[P](c2ccccc2)(c2ccccc2)CCC[P]1(c1ccccc1)c1ccccc1,68.2
3-3-rhi-cf3.log,CC(C)(C)[P]1(C(C)(C)C)CC[P](C(C)(C)C)(C(C)(C)C)[Rh@SP3]1C(F)(F)F,68.1
30-2-rhi-cf3.log,C[P]1(C)c2ccc3cccc(c3c2)-c2cccc3ccc(cc23)[P](C)(C)[Rh@SP3]1C(F)(F)F,68.1
50-3-rhi-cf3.log,CC(C)(c1nc(F)co1)[C@]1([Rh]C(F)(F)F)[N]C(F)=CO1,68.1
58-3-rhi-cf3.log,CC(C)(C)N1[C]2N(CN3[C](N(C(C)(C)C)c4ccccc43)[Rh@SP3]2C(F)(F)F)c2ccccc21,68.1
54-5-rhi-cf3.log,FC(F)(F)[Rh@SP1]12N3[C](OC=C3c3ccccc3)C3=CC=CC(=C4OC=C(c5ccccc5)N41)N32,68
56-5-rhi-cf3.log,FC(F)(F)[Rh@SP2]1[C]2N(Cc3ccccc3)C=CN2CN2C=CN(Cc3ccccc3)[C]21,68
6-1-rhi-cf3.log,C[C@H]1C[C@H](C)[P](c2ccccc2)(c2ccccc2)[Rh@SP3](C(F)(F)F)[P]1(c1ccccc1)c1ccccc1,68
65-4-rhi-cf3.log,FC(F)(F)[Rh][C]1N(c2ccccc2)CCCN1c1ccccc1,68
15-3-rhi-cf3.log,CC(C)(C)[P]1(C(C)(C)C)c2ccccc2[P](C(C)(C)C)(C(C)(C)C)[Rh@SP1]1C(F)(F)F,67.8
20-1-rhi-cf3.log,FC(F)(F)[Rh@SP2]1[P](c2ccccc2)(c2ccccc2)[C@@H]2COCC[C@@H]2[P]1(c1ccccc1)c1ccccc1,67.8
21-2-rhi-cf3.log,C[P]1(C)c2ccccc2Oc2ccccc2[P](C)(C)[Rh@SP1]1C(F)(F)F,67.8
27-1-rhi-cf3.log,FC(F)(F)[Rh@SP1]1[P](c2ccccc2)(c2ccccc2)c2ccc3c(c2-c2c(ccc4c2OCCO4)[P]1(c1ccccc1)c1ccccc1)OCCO3,67.8
15-1-rhi-cf3.log,FC(F)(F)[Rh@SP1]1[P](c2ccccc2)(c2ccccc2)c2ccccc2[P]1(c1ccccc1)c1ccccc1,67.7
10-1-rhi-cf3.log,FC(F)(F)[Rh@SP1]1[P](c2ccccc2)(c2ccccc2)c2c[nH]cc2[P]1(c1ccccc1)c1ccccc1,67.6
13-3-rhi-cf3.log,CC(C)(C)[P]1(C(C)(C)C)[C@H]2CNC[C@@H]2[P](C(C)(C)C)(C(C)(C)C)[Rh@SP3]1C(F)(F)F,67.6
25-1-rhi-cf3.log,Cc1cccc2c1-c1c(C)cccc1[P](c1ccccc1)(c1ccccc1)[Rh@SP2](C(F)(F)F)[P]2(c1ccccc1)c1ccccc1,67.6
34-3-rhi-cf3.log,CC(C)(C)[P]1(C(C)(C)C)[C@@H]2[C@@H]([C@@H]3C=C[C@H]2C3)[P](C(C)(C)C)(C(C)(C)C)[Rh@SP1]1C(F)(F)F,67.6
10-3-rhi-cf3.log,CC(C)(C)[P]1(C(C)(C)C)c2c[nH]cc2[P](C(C)(C)C)(C(C)(C)C)[Rh@SP3]1C(F)(F)F,67.5
11-4-rhi-cf3.log,O=C1C2=C(C(=O)N1c1ccccc1)[P](C1CCCCC1)(C1CCCCC1)[Rh@SP3](C(F)(F)F)[P]2(C1CCCCC1)C1CCCCC1,67.5
31-1-rhi-cf3.log,FC(F)(F)[Rh@SP1]1[P](c2ccccc2)(c2ccccc2)[C@@H]2CCCC23CCC[C@H]3[P]1(c1ccccc1)c1ccccc1,67.5
32-1-rhi-cf3.log,FC(F)(F)[Rh@SP2]1[P](c2ccccc2)(c2ccccc2)O[C@@H]2CCCC23CCC[C@H]3O[P]1(c1ccccc1)c1ccccc1,67.5
18-1-rhi-cf3.log,FC(F)(F)[Rh@SP2]1[P](c2ccccc2)(c2ccccc2)[C@@H]2CCC[C@@H](C2)[P]1(c1ccccc1)c1ccccc1,67.4
