,SMILES,BDE
33-2-niii-cf3.log,C[P]1(C)c2cccc3c2C2(CC3)CCc3cccc(c32)[P](C)(C)[Ni@SP3]1(C(F)(F)F)C(F)(F)F,54.6
41-2-niii-cf3.log,C[P]1(C)c2cccc3c2[C@@]2(CCc4cccc(N->[Ni@SP1]1(C(F)(F)F)C(F)(F)F)c42)CC3,54.5
42-2-niii-cf3.log,C[P]1(C)Cc2cccc3c2[C@]2(CC3)CCc3cccc(N->[Ni@SP1]1(C(F)(F)F)C(F)(F)F)c32,54.5
51-2-niii-cf3.log,FC(F)(F)C1=CO[C]2c3cccc4cc5cccc(c5cc34)[C]3OC=C(C(F)(F)F)N3[Ni@SP3](C(F)(F)F)(C(F)(F)F)N21,54.3
13-1-niii-cf3.log,FC(F)(F)[Ni@SP2]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)[C@H]2CNC[C@@H]2[P]1(c1ccccc1)c1ccccc1,54.2
39-2-niii-cf3.log,C[P]1(C)c2cc3ccc2CCc2ccc(c(c2)[P](C)(C)[Ni@TB10]1(C(F)(F)F)C(F)(F)F)CC3,54.2
46-2-niii-cf3.log,FC(F)(F)C1=CC2=C3C=C(C(F)(F)F)C=CN3[Ni@SP1](C(F)(F)F)(C(F)(F)F)N2C=C1,54.2
63-1-niii-cf3.log,CN1C=CN2[C]1[Ni@SP2](C(F)(F)F)(C(F)(F)F)[C]1N(C)C=CN1c1ccc3ccccc3c1-c1c2ccc2ccccc12,54.2
16-1-niii-cf3.log,FC(F)(F)[Ni@SP2]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)c2cccnc2[P]1(c1ccccc1)c1ccccc1,54.1
15-1-niii-cf3.log,FC(F)(F)[Ni@SP2]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)c2ccccc2[P]1(c1ccccc1)c1ccccc1,54
49-1-niii-cf3.log,CC1=COC2=C3OC=C(C)N3[Ni@SP2](C(F)(F)F)(C(F)(F)F)N12,54
44-4-niii-cf3.log,FC(F)(F)[Ni@SP3]1(C(F)(F)F)N2CCO[C]2Cc2ccccc2[P]1(C1CCCCC1)C1CCCCC1,53.9
49-4-niii-cf3.log,COC1=COC2=C3OC=C(OC)N3[Ni@SP2](C(F)(F)F)(C(F)(F)F)N12,53.9
63-4-niii-cf3.log,FC(F)(F)[Ni@SP3]1(C(F)(F)F)[C]2N(c3ccccc3)C=CN2c2ccc3ccccc3c2-c2c(ccc3ccccc23)N2C=CN(c3ccccc3)[C]21,53.9
10-4-niii-cf3.log,FC(F)(F)[Ni@SP2]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)c2c[nH]cc2[P]1(C1CCCCC1)C1CCCCC1,53.7
15-4-niii-cf3.log,FC(F)(F)[Ni@SP3]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)c2ccccc2[P]1(C1CCCCC1)C1CCCCC1,53.7
2-4-niii-cf3.log,CC1(C)[P](C2CCCCC2)(C2CCCCC2)[Ni@SP1](C(F)(F)F)(C(F)(F)F)[P]1(C1CCCCC1)C1CCCCC1,53.7
63-2-niii-cf3.log,CCN1C=CN2[C]1[Ni](C(F)(F)F)(C(F)(F)F)[C]1N(CC)C=CN1c1ccc3ccccc3c1-c1c2ccc2ccccc12,53.7
16-5-niii-cf3.log,FC(F)(F)[Ni@SP2]1(C(F)(F)F)[P](n2cccc2)(n2cccc2)c2cccnc2[P]1(n1cccc1)n1cccc1,53.5
3-4-niii-cf3.log,FC(F)(F)[Ni@SP2]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)CC[P]1(C1CCCCC1)C1CCCCC1,53.5
49-3-niii-cf3.log,FC1=COC2=C3OC=C(F)N3[Ni@SP2](C(F)(F)F)(C(F)(F)F)N12,53.5
51-1-niii-cf3.log,CC1=CO[C]2c3cccc4cc5cccc(c5cc34)[C]3OC=C(C)N3[Ni@SP3](C(F)(F)F)(C(F)(F)F)N21,53.5
19-2-niii-cf3.log,C[P]1(C)C[C@H]2CCCC[C@@H]2C[P](C)(C)[Ni@TB5]1(C(F)(F)F)C(F)(F)F,53.3
5-5-niii-cf3.log,FC(F)(F)[Ni@SP3]1(C(F)(F)F)[P](n2cccc2)(n2cccc2)CCC[P]1(n1cccc1)n1cccc1,53.3
50-3-niii-cf3.log,CC1(C)[C]2OC=C(F)N2[Ni@SP2](C(F)(F)F)(C(F)(F)F)N2[C]1OC=C2F,53.3
3-5-niii-cf3.log,FC(F)(F)[Ni@SP3]1(C(F)(F)F)[P](n2cccc2)(n2cccc2)CC[P]1(n1cccc1)n1cccc1,53.2
37-4-niii-cf3.log,C[C@H]1c2ccccc2[P@@]2(C3CCCCC3)N1CCN1[C@@H](C)c3ccccc3[P@]1(C1CCCCC1)[Ni@TB16]2(C(F)(F)F)C(F)(F)F,53.2
2-3-niii-cf3.log,CC(C)(C)[P]1(C(C)(C)C)C(C)(C)[P](C(C)(C)C)(C(C)(C)C)[Ni]1(C(F)(F)F)C(F)(F)F,53.1
41-4-niii-cf3.log,FC(F)(F)[Ni@SP1]1(<-Nc2cccc3c2[C@]2(CC3)CCc3cccc([P]1(C1CCCCC1)C1CCCCC1)c32)C(F)(F)F,52.9
12-4-niii-cf3.log,CC1(C)OC2=C(O1)[P](C1CCCCC1)(C1CCCCC1)[Ni@SP2](C(F)(F)F)(C(F)(F)F)[P]2(C1CCCCC1)C1CCCCC1,52.8
63-5-niii-cf3.log,FC(F)(F)[Ni@SP3]1(C(F)(F)F)[C]2N(Cc3ccccc3)C=CN2c2ccc3ccccc3c2-c2c(ccc3ccccc23)N2C=CN(Cc3ccccc3)[C]21,52.8
16-4-niii-cf3.log,FC(F)(F)[Ni@SP2]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)c2cccnc2[P]1(C1CCCCC1)C1CCCCC1,52.7
8-5-niii-cf3.log,FC(F)(F)[Ni@SP2]1(C(F)(F)F)[P](n2cccc2)(n2cccc2)C2=CCC=C2[P]1(n1cccc1)n1cccc1,52.7
61-3-niii-cf3.log,CC(C)(C)N1C=CN2Cc3ccccc3CN3C=CN(C(C)(C)C)[C]3[Ni@TB13](C(F)(F)F)(C(F)(F)F)[C]21,52.6
9-5-niii-cf3.log,FC(F)(F)[Ni@SP3]1(C(F)(F)F)[P](n2cccc2)(n2cccc2)c2cscc2[P]1(n1cccc1)n1cccc1,52.6
10-5-niii-cf3.log,FC(F)(F)[Ni@SP2]1(C(F)(F)F)[P](n2cccc2)(n2cccc2)c2c[nH]cc2[P]1(n1cccc1)n1cccc1,52.5
14-2-niii-cf3.log,C[P]1(C)C[C@H]2C[C@H](CN2)[P](C)(C)[Ni@SP3]1(C(F)(F)F)C(F)(F)F,52.5
4-4-niii-cf3.log,C[C@H]1[C@H](C)[P](C2CCCCC2)(C2CCCCC2)[Ni@TB7](C(F)(F)F)(C(F)(F)F)[P]1(C1CCCCC1)C1CCCCC1,52.4
17-5-niii-cf3.log,FC(F)(F)[Ni@SP3]1(C(F)(F)F)[P](n2cccc2)(n2cccc2)Cc2ccccc2C[P]1(n1cccc1)n1cccc1,52.3
2-5-niii-cf3.log,CC1(C)[P](n2cccc2)(n2cccc2)[Ni@SP1](C(F)(F)F)(C(F)(F)F)[P]1(n1cccc1)n1cccc1,52.2
38-1-niii-cf3.log,FC(F)(F)[Ni@SP2]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)[C@H]2COCO[C@@H]2[C@H]2OCOC[C@@H]2[P]1(c1ccccc1)c1ccccc1,52.2
43-2-niii-cf3.log,C[P]1(C)c2c(sc3ccccc23)[C]2OCCN2[Ni@TB3]1(C(F)(F)F)C(F)(F)F,52.2
44-2-niii-cf3.log,C[P]1(C)c2ccccc2C[C]2OCCN2[Ni@SP1]1(C(F)(F)F)C(F)(F)F,51.8
19-1-niii-cf3.log,FC(F)(F)[Ni@SP2]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)C[C@H]2CCCC[C@@H]2C[P]1(c1ccccc1)c1ccccc1,51.7
50-1-niii-cf3.log,CC1=CO[C]2N1[Ni@SP1](C(F)(F)F)(C(F)(F)F)N1[C](OC=C1C)C2(C)C,51.7
34-4-niii-cf3.log,FC(F)(F)[Ni@SP2]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)[C@@H]2[C@@H]([C@@H]3C=C[C@H]2C3)[P]1(C1CCCCC1)C1CCCCC1,51.6
4-5-niii-cf3.log,C[C@H]1[C@H](C)[P](n2cccc2)(n2cccc2)[Ni@SP2](C(F)(F)F)(C(F)(F)F)[P]1(n1cccc1)n1cccc1,51.6
20-5-niii-cf3.log,FC(F)(F)[Ni@SP2]1(C(F)(F)F)[P](n2cccc2)(n2cccc2)[C@@H]2COCC[C@@H]2[P]1(n1cccc1)n1cccc1,51.4
43-1-niii-cf3.log,FC(F)(F)[Ni@TB16]1(C(F)(F)F)N2CCO[C]2c2sc3ccccc3c2[P]1(c1ccccc1)c1ccccc1,51.4
1-5-niii-cf3.log,FC(F)(F)[Ni@SP2]1(C(F)(F)F)[P](n2cccc2)(n2cccc2)C[P]1(n1cccc1)n1cccc1,51.3
27-1-niii-cf3.log,FC(F)(F)[Ni]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)c2ccc3c(c2-c2c(ccc4c2OCCO4)[P]1(c1ccccc1)c1ccccc1)OCCO3,51.3
9-1-niii-cf3.log,FC(F)(F)[Ni@SP2]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)c2cscc2[P]1(c1ccccc1)c1ccccc1,51.3
10-1-niii-cf3.log,FC(F)(F)[Ni@SP2]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)c2c[nH]cc2[P]1(c1ccccc1)c1ccccc1,51.2
5-4-niii-cf3.log,FC(F)(F)[Ni@SP2]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)CCC[P]1(C1CCCCC1)C1CCCCC1,51.2
50-5-niii-cf3.log,CC1(C)[C]2OC=C(c3ccccc3)N2[Ni@SP1](C(F)(F)F)(C(F)(F)F)N2[C]1OC=C2c1ccccc1,51.1
15-5-niii-cf3.log,FC(F)(F)[Ni@SP3]1(C(F)(F)F)[P](n2cccc2)(n2cccc2)c2ccccc2[P]1(n1cccc1)n1cccc1,51
11-4-niii-cf3.log,O=C1C2=C(C(=O)N1c1ccccc1)[P](C1CCCCC1)(C1CCCCC1)[Ni](C(F)(F)F)(C(F)(F)F)[P]2(C1CCCCC1)C1CCCCC1,50.9
6-5-niii-cf3.log,C[C@H]1C[C@H](C)[P](n2cccc2)(n2cccc2)[Ni@SP1](C(F)(F)F)(C(F)(F)F)[P]1(n1cccc1)n1cccc1,50.9
25-1-niii-cf3.log,Cc1cccc2c1-c1c(C)cccc1[P](c1ccccc1)(c1ccccc1)[Ni](C(F)(F)F)(C(F)(F)F)[P]2(c1ccccc1)c1ccccc1,50.8
35-2-niii-cf3.log,C[P]1(C)c2cccc3c2[C@H]2CC[C@@H]3c3cccc(c32)[P](C)(C)[Ni@SP1]1(C(F)(F)F)C(F)(F)F,50.7
